Test,Vertices,filename,Brute Force,Brute Force Time,Heuristic,Heuristic Time
16,15,"7/test_v(15)_p([0.02, 0.6])_no(16).txt",4,9.417533874511719e-05,4,0.0003418922424316406
17,15,"7/test_v(15)_p([0.02, 0.6])_no(17).txt",4,6.413459777832031e-05,4,0.00041794776916503906
18,15,"7/test_v(15)_p([0.02, 0.6])_no(18).txt",3,5.602836608886719e-05,3,0.0004291534423828125
19,15,"7/test_v(15)_p([0.02, 0.6])_no(19).txt",4,5.91278076171875e-05,4,0.0004069805145263672
20,15,"7/test_v(15)_p([0.02, 0.6])_no(20).txt",8,0.0008912086486816406,8,0.00021791458129882812
21,15,"7/test_v(15)_p([0.02, 0.6])_no(21).txt",3,4.982948303222656e-05,3,0.0004711151123046875
22,15,"7/test_v(15)_p([0.02, 0.6])_no(22).txt",3,3.886222839355469e-05,3,0.0005240440368652344
23,15,"7/test_v(15)_p([0.02, 0.6])_no(23).txt",6,0.00019502639770507812,6,0.0002911090850830078
24,15,"7/test_v(15)_p([0.02, 0.6])_no(24).txt",3,4.792213439941406e-05,3,0.00047087669372558594
25,15,"7/test_v(15)_p([0.02, 0.6])_no(25).txt",7,0.00047588348388671875,7,0.00023865699768066406
26,15,"7/test_v(15)_p([0.02, 0.6])_no(26).txt",6,0.00022602081298828125,6,0.00026488304138183594
27,15,"7/test_v(15)_p([0.02, 0.6])_no(27).txt",3,4.601478576660156e-05,3,0.0004849433898925781
28,15,"7/test_v(15)_p([0.02, 0.6])_no(28).txt",4,6.771087646484375e-05,4,0.0004100799560546875
29,15,"7/test_v(15)_p([0.02, 0.6])_no(29).txt",3,5.1975250244140625e-05,3,0.0004107952117919922
0,25,"7/test_v(25)_p([0.02, 0.6])_no(0).txt",7,0.0013413429260253906,7,0.0010652542114257812
1,25,"7/test_v(25)_p([0.02, 0.6])_no(1).txt",8,0.0026121139526367188,8,0.0008509159088134766
2,25,"7/test_v(25)_p([0.02, 0.6])_no(2).txt",8,0.005125999450683594,8,0.0007419586181640625
3,25,"7/test_v(25)_p([0.02, 0.6])_no(3).txt",8,0.0031599998474121094,8,0.000804901123046875
4,25,"7/test_v(25)_p([0.02, 0.6])_no(4).txt",6,0.001016855239868164,6,0.0012080669403076172
5,25,"7/test_v(25)_p([0.02, 0.6])_no(5).txt",6,0.0006809234619140625,6,0.0013229846954345703
6,25,"7/test_v(25)_p([0.02, 0.6])_no(6).txt",3,0.00015687942504882812,3,0.0022830963134765625
7,25,"7/test_v(25)_p([0.02, 0.6])_no(7).txt",6,0.0004432201385498047,5,0.0015718936920166016
8,25,"7/test_v(25)_p([0.02, 0.6])_no(8).txt",7,0.0014758110046386719,7,0.0010187625885009766
9,25,"7/test_v(25)_p([0.02, 0.6])_no(9).txt",5,0.00044417381286621094,5,0.0015130043029785156
10,25,"7/test_v(25)_p([0.02, 0.6])_no(10).txt",5,0.0003712177276611328,5,0.0017237663269042969
11,25,"7/test_v(25)_p([0.02, 0.6])_no(11).txt",8,0.003316164016723633,8,0.0008027553558349609
12,25,"7/test_v(25)_p([0.02, 0.6])_no(12).txt",3,0.00013303756713867188,3,0.002415895462036133
13,25,"7/test_v(25)_p([0.02, 0.6])_no(13).txt",3,0.000141143798828125,3,0.0023491382598876953
14,25,"7/test_v(25)_p([0.02, 0.6])_no(14).txt",6,0.0010797977447509766,6,0.001107931137084961
15,25,"7/test_v(25)_p([0.02, 0.6])_no(15).txt",3,0.00011587142944335938,3,0.002679109573364258
16,25,"7/test_v(25)_p([0.02, 0.6])_no(16).txt",6,0.0005249977111816406,6,0.00146484375
17,25,"7/test_v(25)_p([0.02, 0.6])_no(17).txt",3,0.0001461505889892578,3,0.0023679733276367188
18,25,"7/test_v(25)_p([0.02, 0.6])_no(18).txt",6,0.00061798095703125,6,0.0014128684997558594
19,25,"7/test_v(25)_p([0.02, 0.6])_no(19).txt",6,0.0006160736083984375,5,0.0015790462493896484
20,25,"7/test_v(25)_p([0.02, 0.6])_no(20).txt",5,0.0005671977996826172,5,0.0013751983642578125
21,25,"7/test_v(25)_p([0.02, 0.6])_no(21).txt",6,0.0007889270782470703,5,0.0012629032135009766
22,25,"7/test_v(25)_p([0.02, 0.6])_no(22).txt",5,0.00044608116149902344,5,0.0015888214111328125
23,25,"7/test_v(25)_p([0.02, 0.6])_no(23).txt",13,0.046378135681152344,13,0.0005931854248046875
24,25,"7/test_v(25)_p([0.02, 0.6])_no(24).txt",3,0.00010991096496582031,3,0.0025742053985595703
25,25,"7/test_v(25)_p([0.02, 0.6])_no(25).txt",9,0.010419845581054688,9,0.0006799697875976562
26,25,"7/test_v(25)_p([0.02, 0.6])_no(26).txt",6,0.0009360313415527344,6,0.0012388229370117188
27,25,"7/test_v(25)_p([0.02, 0.6])_no(27).txt",3,0.00012612342834472656,3,0.0026450157165527344
28,25,"7/test_v(25)_p([0.02, 0.6])_no(28).txt",4,0.0001709461212158203,4,0.0022058486938476562
29,25,"7/test_v(25)_p([0.02, 0.6])_no(29).txt",4,0.00027370452880859375,4,0.001909017562866211
0,35,"7/test_v(35)_p([0.02, 0.6])_no(0).txt",4,0.00038814544677734375,4,0.0075190067291259766
1,35,"7/test_v(35)_p([0.02, 0.6])_no(1).txt",6,0.002262115478515625,6,0.0039288997650146484
2,35,"7/test_v(35)_p([0.02, 0.6])_no(2).txt",4,0.00036907196044921875,4,0.007627010345458984
3,35,"7/test_v(35)_p([0.02, 0.6])_no(3).txt",7,0.0027341842651367188,6,0.003683805465698242
4,35,"7/test_v(35)_p([0.02, 0.6])_no(4).txt",4,0.0002989768981933594,4,0.008290767669677734
5,35,"7/test_v(35)_p([0.02, 0.6])_no(5).txt",4,0.0003230571746826172,4,0.008508920669555664
6,35,"7/test_v(35)_p([0.02, 0.6])_no(6).txt",4,0.00033593177795410156,3,0.007847309112548828
7,35,"7/test_v(35)_p([0.02, 0.6])_no(7).txt",11,0.0448911190032959,10,0.0018711090087890625
8,35,"7/test_v(35)_p([0.02, 0.6])_no(8).txt",6,0.0019218921661376953,6,0.004113912582397461
9,35,"7/test_v(35)_p([0.02, 0.6])_no(9).txt",5,0.0007081031799316406,5,0.005839109420776367
10,35,"7/test_v(35)_p([0.02, 0.6])_no(10).txt",4,0.00045490264892578125,4,0.006786823272705078
11,35,"7/test_v(35)_p([0.02, 0.6])_no(11).txt",8,0.011118173599243164,8,0.002519845962524414
12,35,"7/test_v(35)_p([0.02, 0.6])_no(12).txt",7,0.002769947052001953,7,0.003726959228515625
13,35,"7/test_v(35)_p([0.02, 0.6])_no(13).txt",10,0.03586697578430176,10,0.0019381046295166016
14,35,"7/test_v(35)_p([0.02, 0.6])_no(14).txt",12,0.18752312660217285,11,0.0014960765838623047
15,35,"7/test_v(35)_p([0.02, 0.6])_no(15).txt",10,0.01927328109741211,10,0.0022351741790771484
16,35,"7/test_v(35)_p([0.02, 0.6])_no(16).txt",7,0.0035400390625,7,0.0034029483795166016
17,35,"7/test_v(35)_p([0.02, 0.6])_no(17).txt",11,0.06537890434265137,11,0.001689910888671875
18,35,"7/test_v(35)_p([0.02, 0.6])_no(18).txt",12,0.13020896911621094,12,0.0016181468963623047
19,35,"7/test_v(35)_p([0.02, 0.6])_no(19).txt",10,0.019663095474243164,10,0.0022377967834472656
20,35,"7/test_v(35)_p([0.02, 0.6])_no(20).txt",8,0.00834202766418457,8,0.0028460025787353516
21,35,"7/test_v(35)_p([0.02, 0.6])_no(21).txt",17,1.9959890842437744,16,0.0012831687927246094
22,35,"7/test_v(35)_p([0.02, 0.6])_no(22).txt",4,0.0003180503845214844,4,0.007866144180297852
23,35,"7/test_v(35)_p([0.02, 0.6])_no(23).txt",5,0.00033020973205566406,5,0.00806117057800293
24,35,"7/test_v(35)_p([0.02, 0.6])_no(24).txt",5,0.0006289482116699219,5,0.006311893463134766
25,35,"7/test_v(35)_p([0.02, 0.6])_no(25).txt",6,0.0017108917236328125,6,0.004457950592041016
26,35,"7/test_v(35)_p([0.02, 0.6])_no(26).txt",4,0.0003173351287841797,4,0.008152246475219727
27,35,"7/test_v(35)_p([0.02, 0.6])_no(27).txt",10,0.017399072647094727,10,0.002349853515625
28,35,"7/test_v(35)_p([0.02, 0.6])_no(28).txt",10,0.04656362533569336,10,0.0017421245574951172
29,35,"7/test_v(35)_p([0.02, 0.6])_no(29).txt",16,2.491702079772949,16,0.0012600421905517578
0,45,"7/test_v(45)_p([0.02, 0.6])_no(0).txt",4,0.0005848407745361328,4,0.020905017852783203
1,45,"7/test_v(45)_p([0.02, 0.6])_no(1).txt",5,0.0013458728790283203,5,0.01571202278137207
2,45,"7/test_v(45)_p([0.02, 0.6])_no(2).txt",4,0.0004971027374267578,4,0.021697998046875
3,45,"7/test_v(45)_p([0.02, 0.6])_no(3).txt",13,0.49375486373901367,12,0.0033228397369384766
4,45,"7/test_v(45)_p([0.02, 0.6])_no(4).txt",11,0.1688551902770996,11,0.004203081130981445
5,45,"7/test_v(45)_p([0.02, 0.6])_no(5).txt",6,0.004906177520751953,6,0.010098934173583984
6,45,"7/test_v(45)_p([0.02, 0.6])_no(6).txt",12,0.20952486991882324,12,0.004040956497192383
7,45,"7/test_v(45)_p([0.02, 0.6])_no(7).txt",12,0.12975525856018066,11,0.004602909088134766
8,45,"7/test_v(45)_p([0.02, 0.6])_no(8).txt",9,0.03785228729248047,9,0.005873918533325195
9,45,"7/test_v(45)_p([0.02, 0.6])_no(9).txt",9,0.02964472770690918,8,0.006712198257446289
10,45,"7/test_v(45)_p([0.02, 0.6])_no(10).txt",5,0.0012831687927246094,4,0.016177892684936523
11,45,"7/test_v(45)_p([0.02, 0.6])_no(11).txt",6,0.0025980472564697266,5,0.012885808944702148
12,45,"7/test_v(45)_p([0.02, 0.6])_no(12).txt",8,0.012896060943603516,8,0.007922172546386719
13,45,"7/test_v(45)_p([0.02, 0.6])_no(13).txt",6,0.0019021034240722656,5,0.01380014419555664
14,45,"7/test_v(45)_p([0.02, 0.6])_no(14).txt",12,0.20299315452575684,12,0.004027128219604492
15,45,"7/test_v(45)_p([0.02, 0.6])_no(15).txt",21,68.40433621406555,20,0.0023391246795654297
16,45,"7/test_v(45)_p([0.02, 0.6])_no(16).txt",10,0.041793107986450195,10,0.0058062076568603516
17,45,"7/test_v(45)_p([0.02, 0.6])_no(17).txt",5,0.0007810592651367188,5,0.019443988800048828
18,45,"7/test_v(45)_p([0.02, 0.6])_no(18).txt",12,0.2216038703918457,11,0.004258155822753906
19,45,"7/test_v(45)_p([0.02, 0.6])_no(19).txt",7,0.0048809051513671875,6,0.010410070419311523
