Test,Vertices,filename,Brute Force,Brute Force Time,Heuristic,Heuristic Time
9,55,"7/test_v(55)_p([0.02, 0.6])_no(9).txt",8,1.0262391567230225,7,1.257986545562744
4,65,"7/test_v(65)_p([0.02, 0.6])_no(4).txt",14,372.2972662448883,14,0.5904443264007568
19,65,"7/test_v(65)_p([0.02, 0.6])_no(19).txt",9,3.060892105102539,9,1.1126821041107178
1,5,"7/test_v(5)_p([0.02, 0.6])_no(1).txt",2,0.000523567199707,2,0.0046057701110839
16,5,"7/test_v(5)_p([0.02, 0.6])_no(16).txt",2,0.0107746124267578,2,0.0007946491241455
11,15,"7/test_v(15)_p([0.02, 0.6])_no(11).txt",3,0.0018482208251953,3,0.0023958683013916
6,25,"7/test_v(25)_p([0.02, 0.6])_no(6).txt",5,0.006976842880249,5,0.0066125392913818
1,35,"7/test_v(35)_p([0.02, 0.6])_no(1).txt",4,0.0381686687469482,4,0.020414113998413
16,35,"7/test_v(35)_p([0.02, 0.6])_no(16).txt",8,0.2470829486846923,8,0.0449318885803222
11,45,"7/test_v(45)_p([0.02, 0.6])_no(11).txt",5,0.1721692085266113,5,0.2660157680511474
6,55,"7/test_v(55)_p([0.02, 0.6])_no(6).txt",16,721.270758152008,16,0.1606173515319824
1,65,"7/test_v(65)_p([0.02, 0.6])_no(1).txt",9,1.4452080726623535,9,0.8545587062835693
16,65,"7/test_v(65)_p([0.02, 0.6])_no(16).txt",5,0.0889480113983154,5,1.7669677734375
8,5,"7/test_v(5)_p([0.02, 0.6])_no(8).txt",2,0.0099751949310302,2,0.0030314922332763
3,15,"7/test_v(15)_p([0.02, 0.6])_no(3).txt",8,0.0393071174621582,8,0.0015578269958496
18,15,"7/test_v(15)_p([0.02, 0.6])_no(18).txt",4,0.0124285221099853,4,0.0065593719482421
13,25,"7/test_v(25)_p([0.02, 0.6])_no(13).txt",4,0.0861692428588867,3,0.0513243675231933
8,35,"7/test_v(35)_p([0.02, 0.6])_no(8).txt",7,0.5611052513122559,7,0.1192662715911865
3,45,"7/test_v(45)_p([0.02, 0.6])_no(3).txt",19,935.6662471294404,19,0.0989480018615722
18,45,"7/test_v(45)_p([0.02, 0.6])_no(18).txt",8,0.3429763317108154,7,0.1533722877502441
13,55,"7/test_v(55)_p([0.02, 0.6])_no(13).txt",8,0.5389411449432373,8,0.3696987628936767
8,65,"7/test_v(65)_p([0.02, 0.6])_no(8).txt",5,0.0887339115142822,5,1.150362253189087
5,5,"7/test_v(5)_p([0.02, 0.6])_no(5).txt",2,0.0106656551361083,2,0.0010392665863037
0,15,"7/test_v(15)_p([0.02, 0.6])_no(0).txt",6,0.0050890445709228,6,0.0034983158111572
15,15,"7/test_v(15)_p([0.02, 0.6])_no(15).txt",4,0.0141608715057373,4,0.0019145011901855
10,25,"7/test_v(25)_p([0.02, 0.6])_no(10).txt",7,0.0261647701263427,7,0.0082025527954101
5,35,"7/test_v(35)_p([0.02, 0.6])_no(5).txt",14,10.93265986442566,14,0.146376371383667
0,45,"7/test_v(45)_p([0.02, 0.6])_no(0).txt",9,1.7892754077911377,8,0.1284365653991699
15,45,"7/test_v(45)_p([0.02, 0.6])_no(15).txt",4,0.1265521049499511,3,0.8386538028717041
10,55,"7/test_v(55)_p([0.02, 0.6])_no(10).txt",8,1.057149887084961,8,0.9861602783203124
5,65,"7/test_v(65)_p([0.02, 0.6])_no(5).txt",15,491.1992213726044,14,0.3098835945129394
9,5,"7/test_v(5)_p([0.02, 0.6])_no(9).txt",2,0.0041005611419677,2,0.0008978843688964
4,15,"7/test_v(15)_p([0.02, 0.6])_no(4).txt",7,0.0121986865997314,7,0.0016071796417236
19,15,"7/test_v(15)_p([0.02, 0.6])_no(19).txt",3,0.0099561214447021,3,0.013150930404663
14,25,"7/test_v(25)_p([0.02, 0.6])_no(14).txt",5,0.0107297897338867,5,0.0592036247253418
9,35,"7/test_v(35)_p([0.02, 0.6])_no(9).txt",4,0.1507003307342529,4,0.2004370689392089
4,45,"7/test_v(45)_p([0.02, 0.6])_no(4).txt",7,0.2703530788421631,7,0.1380932331085205
19,45,"7/test_v(45)_p([0.02, 0.6])_no(19).txt",5,0.6442737579345703,5,0.5122723579406738
14,55,"7/test_v(55)_p([0.02, 0.6])_no(14).txt",7,0.9754772186279296,7,1.0942461490631104
9,65,"7/test_v(65)_p([0.02, 0.6])_no(9).txt",5,0.2135088443756103,5,3.297419786453247
14,5,"7/test_v(5)_p([0.02, 0.6])_no(14).txt",2,0.0189094543457031,2,0.0025265216827392
9,15,"7/test_v(15)_p([0.02, 0.6])_no(9).txt",5,0.0166375637054443,5,0.003774881362915
4,25,"7/test_v(25)_p([0.02, 0.6])_no(4).txt",5,0.0150291919708251,5,0.013538122177124
19,25,"7/test_v(25)_p([0.02, 0.6])_no(19).txt",9,0.2654743194580078,9,0.0774464607238769
14,35,"7/test_v(35)_p([0.02, 0.6])_no(14).txt",8,0.694082498550415,8,0.0584943294525146
9,45,"7/test_v(45)_p([0.02, 0.6])_no(9).txt",10,1.4640707969665527,9,0.5234119892120361
4,55,"7/test_v(55)_p([0.02, 0.6])_no(4).txt",6,0.4507908821105957,6,1.811070442199707
19,55,"7/test_v(55)_p([0.02, 0.6])_no(19).txt",4,0.2443478107452392,4,2.224663257598877
14,65,"7/test_v(65)_p([0.02, 0.6])_no(14).txt",12,39.6045868396759,10,1.2306277751922607
