2024-12-08 16:45:51,570 - INFO - Test: 48, Vertices: 5, Time: 5.412101745605469e-05, Independent Set Size: 2
2024-12-08 16:45:51,571 - INFO - Test: 49, Vertices: 5, Time: 5.3882598876953125e-05, Independent Set Size: 3
2024-12-08 16:45:51,573 - INFO - Test: 0, Vertices: 15, Time: 0.0006515979766845703, Independent Set Size: 3
2024-12-08 16:45:51,575 - INFO - Test: 1, Vertices: 15, Time: 0.0004363059997558594, Independent Set Size: 5
2024-12-08 16:45:51,576 - INFO - Test: 2, Vertices: 15, Time: 0.0006043910980224609, Independent Set Size: 4
2024-12-08 16:45:51,578 - INFO - Test: 3, Vertices: 15, Time: 0.0005428791046142578, Independent Set Size: 4
2024-12-08 16:45:51,580 - INFO - Test: 4, Vertices: 15, Time: 0.00037479400634765625, Independent Set Size: 7
2024-12-08 16:45:51,582 - INFO - Test: 5, Vertices: 15, Time: 0.0005784034729003906, Independent Set Size: 4
2024-12-08 16:45:51,583 - INFO - Test: 6, Vertices: 15, Time: 0.0003654956817626953, Independent Set Size: 6
2024-12-08 16:45:51,585 - INFO - Test: 7, Vertices: 15, Time: 0.0003421306610107422, Independent Set Size: 7
2024-12-08 16:45:51,586 - INFO - Test: 8, Vertices: 15, Time: 0.0005190372467041016, Independent Set Size: 4
2024-12-08 16:45:51,588 - INFO - Test: 9, Vertices: 15, Time: 0.0003132820129394531, Independent Set Size: 7
2024-12-08 16:45:51,590 - INFO - Test: 10, Vertices: 15, Time: 0.0004980564117431641, Independent Set Size: 4
2024-12-08 16:45:51,591 - INFO - Test: 11, Vertices: 15, Time: 0.0003857612609863281, Independent Set Size: 6
2024-12-08 16:45:51,593 - INFO - Test: 12, Vertices: 15, Time: 0.0005853176116943359, Independent Set Size: 3
2024-12-08 16:45:51,595 - INFO - Test: 13, Vertices: 15, Time: 0.0004639625549316406, Independent Set Size: 4
2024-12-08 16:45:51,596 - INFO - Test: 14, Vertices: 15, Time: 0.0003447532653808594, Independent Set Size: 7
2024-12-08 16:45:51,598 - INFO - Test: 15, Vertices: 15, Time: 0.0005719661712646484, Independent Set Size: 3
2024-12-08 16:45:51,600 - INFO - Test: 16, Vertices: 15, Time: 0.00034737586975097656, Independent Set Size: 6
2024-12-08 16:45:51,602 - INFO - Test: 17, Vertices: 15, Time: 0.0006320476531982422, Independent Set Size: 4
2024-12-08 16:45:51,604 - INFO - Test: 18, Vertices: 15, Time: 0.0005838871002197266, Independent Set Size: 3
2024-12-08 16:45:51,606 - INFO - Test: 19, Vertices: 15, Time: 0.0005192756652832031, Independent Set Size: 3
2024-12-08 16:45:51,607 - INFO - Test: 20, Vertices: 15, Time: 0.0004279613494873047, Independent Set Size: 5
2024-12-08 16:45:51,609 - INFO - Test: 21, Vertices: 15, Time: 0.000423431396484375, Independent Set Size: 7
2024-12-08 16:45:51,611 - INFO - Test: 22, Vertices: 15, Time: 0.0004096031188964844, Independent Set Size: 5
2024-12-08 16:45:51,612 - INFO - Test: 23, Vertices: 15, Time: 0.0005583763122558594, Independent Set Size: 3
2024-12-08 16:45:51,614 - INFO - Test: 24, Vertices: 15, Time: 0.0003705024719238281, Independent Set Size: 7
2024-12-08 16:45:51,615 - INFO - Test: 25, Vertices: 15, Time: 0.0003590583801269531, Independent Set Size: 6
2024-12-08 16:45:51,617 - INFO - Test: 26, Vertices: 15, Time: 0.0003707408905029297, Independent Set Size: 7
2024-12-08 16:45:51,618 - INFO - Test: 27, Vertices: 15, Time: 0.00047278404235839844, Independent Set Size: 5
2024-12-08 16:45:51,620 - INFO - Test: 28, Vertices: 15, Time: 0.0005106925964355469, Independent Set Size: 4
2024-12-08 16:45:51,622 - INFO - Test: 29, Vertices: 15, Time: 0.0005438327789306641, Independent Set Size: 4
2024-12-08 16:45:51,623 - INFO - Test: 30, Vertices: 15, Time: 0.00035953521728515625, Independent Set Size: 6
2024-12-08 16:45:51,625 - INFO - Test: 31, Vertices: 15, Time: 0.0003261566162109375, Independent Set Size: 8
2024-12-08 16:45:51,627 - INFO - Test: 32, Vertices: 15, Time: 0.0004992485046386719, Independent Set Size: 4
2024-12-08 16:45:51,628 - INFO - Test: 33, Vertices: 15, Time: 0.00035572052001953125, Independent Set Size: 7
2024-12-08 16:45:51,630 - INFO - Test: 34, Vertices: 15, Time: 0.0005977153778076172, Independent Set Size: 4
2024-12-08 16:45:51,632 - INFO - Test: 35, Vertices: 15, Time: 0.000385284423828125, Independent Set Size: 6
2024-12-08 16:45:51,634 - INFO - Test: 36, Vertices: 15, Time: 0.0005171298980712891, Independent Set Size: 4
2024-12-08 16:45:51,635 - INFO - Test: 37, Vertices: 15, Time: 0.0003323554992675781, Independent Set Size: 7
2024-12-08 16:45:51,637 - INFO - Test: 38, Vertices: 15, Time: 0.0003390312194824219, Independent Set Size: 8
2024-12-08 16:45:51,639 - INFO - Test: 39, Vertices: 15, Time: 0.0005991458892822266, Independent Set Size: 3
2024-12-08 16:45:51,640 - INFO - Test: 40, Vertices: 15, Time: 0.0005848407745361328, Independent Set Size: 3
2024-12-08 16:45:51,642 - INFO - Test: 41, Vertices: 15, Time: 0.0005581378936767578, Independent Set Size: 4
2024-12-08 16:45:51,644 - INFO - Test: 42, Vertices: 15, Time: 0.0006048679351806641, Independent Set Size: 4
2024-12-08 16:45:51,646 - INFO - Test: 43, Vertices: 15, Time: 0.0004589557647705078, Independent Set Size: 5
2024-12-08 16:45:51,647 - INFO - Test: 44, Vertices: 15, Time: 0.00041174888610839844, Independent Set Size: 5
2024-12-08 16:45:51,649 - INFO - Test: 45, Vertices: 15, Time: 0.0003857612609863281, Independent Set Size: 6
2024-12-08 16:45:51,651 - INFO - Test: 46, Vertices: 15, Time: 0.0006377696990966797, Independent Set Size: 3
2024-12-08 16:45:51,653 - INFO - Test: 47, Vertices: 15, Time: 0.0004508495330810547, Independent Set Size: 5
2024-12-08 16:45:51,654 - INFO - Test: 48, Vertices: 15, Time: 0.0005433559417724609, Independent Set Size: 5
2024-12-08 16:45:51,656 - INFO - Test: 49, Vertices: 15, Time: 0.00036644935607910156, Independent Set Size: 6
2024-12-08 16:45:51,658 - INFO - Test: 0, Vertices: 25, Time: 0.0009877681732177734, Independent Set Size: 10
2024-12-08 16:45:51,662 - INFO - Test: 1, Vertices: 25, Time: 0.0024542808532714844, Independent Set Size: 5
2024-12-08 16:45:51,666 - INFO - Test: 2, Vertices: 25, Time: 0.0025246143341064453, Independent Set Size: 4
2024-12-08 16:45:51,669 - INFO - Test: 3, Vertices: 25, Time: 0.0011184215545654297, Independent Set Size: 9
2024-12-08 16:45:51,672 - INFO - Test: 4, Vertices: 25, Time: 0.0018236637115478516, Independent Set Size: 7
2024-12-08 16:45:51,676 - INFO - Test: 5, Vertices: 25, Time: 0.0024976730346679688, Independent Set Size: 5
2024-12-08 16:45:51,678 - INFO - Test: 6, Vertices: 25, Time: 0.0014193058013916016, Independent Set Size: 8
2024-12-08 16:45:51,681 - INFO - Test: 7, Vertices: 25, Time: 0.001215219497680664, Independent Set Size: 8
2024-12-08 16:45:51,683 - INFO - Test: 8, Vertices: 25, Time: 0.0011410713195800781, Independent Set Size: 9
2024-12-08 16:45:51,686 - INFO - Test: 9, Vertices: 25, Time: 0.0018873214721679688, Independent Set Size: 6
2024-12-08 16:45:51,689 - INFO - Test: 10, Vertices: 25, Time: 0.0017893314361572266, Independent Set Size: 5
2024-12-08 16:45:51,691 - INFO - Test: 11, Vertices: 25, Time: 0.0011072158813476562, Independent Set Size: 9
2024-12-08 16:45:51,694 - INFO - Test: 12, Vertices: 25, Time: 0.0013408660888671875, Independent Set Size: 7
2024-12-08 16:45:51,697 - INFO - Test: 13, Vertices: 25, Time: 0.0015172958374023438, Independent Set Size: 7
2024-12-08 16:45:51,700 - INFO - Test: 14, Vertices: 25, Time: 0.0017747879028320312, Independent Set Size: 6
2024-12-08 16:45:51,702 - INFO - Test: 15, Vertices: 25, Time: 0.0009930133819580078, Independent Set Size: 9
2024-12-08 16:45:51,705 - INFO - Test: 16, Vertices: 25, Time: 0.001031637191772461, Independent Set Size: 10
2024-12-08 16:45:51,707 - INFO - Test: 17, Vertices: 25, Time: 0.0011370182037353516, Independent Set Size: 9
2024-12-08 16:45:51,710 - INFO - Test: 18, Vertices: 25, Time: 0.0016093254089355469, Independent Set Size: 6
2024-12-08 16:45:51,714 - INFO - Test: 19, Vertices: 25, Time: 0.0021779537200927734, Independent Set Size: 5
2024-12-08 16:45:51,716 - INFO - Test: 20, Vertices: 25, Time: 0.0009324550628662109, Independent Set Size: 10
2024-12-08 16:45:51,718 - INFO - Test: 21, Vertices: 25, Time: 0.0009772777557373047, Independent Set Size: 12
2024-12-08 16:45:51,720 - INFO - Test: 22, Vertices: 25, Time: 0.0009565353393554688, Independent Set Size: 10
2024-12-08 16:45:51,722 - INFO - Test: 23, Vertices: 25, Time: 0.0010690689086914062, Independent Set Size: 11
2024-12-08 16:45:51,726 - INFO - Test: 24, Vertices: 25, Time: 0.00218963623046875, Independent Set Size: 5
2024-12-08 16:45:51,729 - INFO - Test: 25, Vertices: 25, Time: 0.0014925003051757812, Independent Set Size: 7
2024-12-08 16:45:51,732 - INFO - Test: 26, Vertices: 25, Time: 0.002136707305908203, Independent Set Size: 5
2024-12-08 16:45:51,736 - INFO - Test: 27, Vertices: 25, Time: 0.001931905746459961, Independent Set Size: 6
2024-12-08 16:45:51,738 - INFO - Test: 28, Vertices: 25, Time: 0.0016558170318603516, Independent Set Size: 7
2024-12-08 16:45:51,741 - INFO - Test: 29, Vertices: 25, Time: 0.0013613700866699219, Independent Set Size: 8
2024-12-08 16:45:51,745 - INFO - Test: 30, Vertices: 25, Time: 0.002500772476196289, Independent Set Size: 4
2024-12-08 16:45:51,747 - INFO - Test: 31, Vertices: 25, Time: 0.0009388923645019531, Independent Set Size: 12
2024-12-08 16:45:51,751 - INFO - Test: 32, Vertices: 25, Time: 0.0027332305908203125, Independent Set Size: 5
2024-12-08 16:45:51,753 - INFO - Test: 33, Vertices: 25, Time: 0.0009698867797851562, Independent Set Size: 10
2024-12-08 16:45:51,756 - INFO - Test: 34, Vertices: 25, Time: 0.001299142837524414, Independent Set Size: 7
2024-12-08 16:45:51,759 - INFO - Test: 35, Vertices: 25, Time: 0.002017498016357422, Independent Set Size: 5
2024-12-08 16:45:51,763 - INFO - Test: 36, Vertices: 25, Time: 0.002150297164916992, Independent Set Size: 5
2024-12-08 16:45:51,766 - INFO - Test: 37, Vertices: 25, Time: 0.0016217231750488281, Independent Set Size: 8
2024-12-08 16:45:51,770 - INFO - Test: 38, Vertices: 25, Time: 0.002697467803955078, Independent Set Size: 4
2024-12-08 16:45:51,773 - INFO - Test: 39, Vertices: 25, Time: 0.0018587112426757812, Independent Set Size: 6
2024-12-08 16:45:51,776 - INFO - Test: 40, Vertices: 25, Time: 0.0014882087707519531, Independent Set Size: 7
2024-12-08 16:45:51,778 - INFO - Test: 41, Vertices: 25, Time: 0.0014410018920898438, Independent Set Size: 7
2024-12-08 16:45:51,781 - INFO - Test: 42, Vertices: 25, Time: 0.001005411148071289, Independent Set Size: 11
2024-12-08 16:45:51,784 - INFO - Test: 43, Vertices: 25, Time: 0.002438783645629883, Independent Set Size: 4
2024-12-08 16:45:51,787 - INFO - Test: 44, Vertices: 25, Time: 0.0017132759094238281, Independent Set Size: 6
2024-12-08 16:45:51,790 - INFO - Test: 45, Vertices: 25, Time: 0.001802206039428711, Independent Set Size: 6
2024-12-08 16:45:51,794 - INFO - Test: 46, Vertices: 25, Time: 0.002337217330932617, Independent Set Size: 5
